ActivityDate,AvgTotalSteps,AvgCalories,AvgTotalActiveMinutes
2016-04-12,8236.848484848484,2390.6969696969695,229.15151515151516
2016-04-13,7198.727272727273,2286.6363636363635,212.66666666666666
2016-04-14,7743.575757575758,2356.3939393939395,234.33333333333334
2016-04-15,7533.848484848485,2355.181818181818,242.9090909090909
2016-04-16,8679.15625,2392.9375,236.78125
2016-04-17,6409.25,2230.96875,196.09375
2016-04-18,7896.96875,2333.375,228.8125
2016-04-19,8048.65625,2359.09375,239.65625
2016-04-20,8162.96875,2395.21875,246.53125
2016-04-21,8243.59375,2421.875,224.4375
2016-04-22,7446.375,2327.65625,233.21875
2016-04-23,8347.625,2397.15625,266.71875
2016-04-24,7394.40625,2291.4375,221.0625
2016-04-25,7932.78125,2349.5625,232.65625
2016-04-26,7834,2331.375,237.6875
2016-04-27,8078.625,2328.5625,232
2016-04-28,7593.625,2316.0625,238.96875
2016-04-29,7321.53125,2272.5625,235.21875
2016-04-30,8346,2373.935483870968,255.3548387096774
2016-05-01,6895.666666666667,2230.4333333333334,198.6
2016-05-02,7049.448275862069,2275.448275862069,216.06896551724137
2016-05-03,8558.724137931034,2453.896551724138,243.10344827586206
2016-05-04,6763.758620689655,2283.137931034483,204.89655172413794
2016-05-05,8731.034482758621,2415.0689655172414,244.75862068965517
2016-05-06,7492.6551724137935,2375.0689655172414,233.6551724137931
2016-05-07,7151.241379310345,2246.2413793103447,215.89655172413794
2016-05-08,7049.407407407408,2303.4444444444443,219.25925925925927
2016-05-09,8248.814814814816,2335.6666666666665,239.5185185185185
2016-05-10,7951.423076923077,2229.346153846154,222.19230769230768
2016-05-11,7519.5,2190.0833333333335,220.29166666666666
2016-05-12,3482.3333333333335,1139.2857142857142,105.14285714285714
